x,y,id
5880,-2187,Burtsev S.A.
5178,3369,Morozov Y.
4897,2990,Chistyakov D.
5563,3090,Chernyshev V.
5281,2707,Sergeev G.
-3792,-9584,Lagarkov A.
-4085,-9447,Boginskaya I.
-3780,-10168,Bykov I.
-4137,-9742,Budashov I.
-4403,-9604,Ivanov A.
-3920,-9904,Kurochkin I.
-4130,-10143,Rodionov I.
-4368,-9945,Sedova M.
-3621,-9867,Zverev A.
-9622,6776,Selivanov V.V.
-10501,7354,Fedorov S.V.
-9803,7453,Nikolskaya Y.M.
-10622,6519,Veldanov V.A.
-10039,6022,Sotskiy M.Y.
-14917,-6636,Mikhailov V.P.
-14819,-6108,Bazinenkov A.M.
-8671,5973,Gryaznov E.F.
-8853,6529,Goldenko N.A.
-9063,6085,Sudomoev A.D.
-8492,6370,Feldstein V.A.
11739,-4530,Baranov A.D.
11037,-4785,Fedorovskiy K.Y.
-6116,71,Schadko A.O.
-6441,-355,Lebedev S.P.
-6104,-273,Spektor I.E.
-6348,-85,Skorobogatiy M.
-4172,9897,Usoltsev V.
-4292,10133,Lakyda P.
-4095,9655,Luo Y.
-3842,9807,Vasylyshyn R.
-3958,10064,Lakyda I.
-4525,9968,Myklush Y.
-4907,9790,McCallum I.
-4395,9736,Obersteiner M.
-12931,-8199,Kondrat'ev S.Y.
-13275,-7979,Nikolaichik V.I.
-13631,-8121,Svyatysheva E.V.
-13199,-8437,Everstov A.A.
4595,-306,Ashkihazi E.E.
4047,-62,Sedov V.S.
4367,-860,Sovyk D.N.
3858,-310,Khomich A.A.
4251,-330,Bolshakov A.P.
4554,-611,Ryzhkov S.G.
3816,-614,Khomich A.V.
4161,-590,Vinogradov D.V.
4387,-42,Ralchenko V.G.
4026,-876,Konov V.I.
-1541,-13181,Belov N.
-1962,-12848,Naumova E.
-2093,-13353,Akopyan T.
-7758,-5848,Leiman V.
9764,-11170,Zakablukov D.V.
-1145,4363,Van Binh P.
-1548,4612,Minh D.H.
-1284,5010,Sergeevich G.S.
-883,4759,Duc N.V.
-8592,3227,Laut I.
-9120,3446,Räth C.
-9513,3059,Zhdanov S.K.
-8911,2805,Nosenko V.
14766,-3464,Drakon A.
14624,-3894,Matveeva N.
-9405,13063,Davydov M.A.
-8261,-469,Gorbunov E.A.
-8539,-291,Masalov V.M.
-8223,-182,Emelchenko G.A.
2259,13449,Wang M.
2631,13274,Wang Z.
2290,13031,Qiu T.
-2800,13763,Anikin A.
7328,289,Isaev S.A.
6727,369,Schelchkov A.V.
6574,-142,Gortyshov Y.F.
7460,-279,Baranov P.A.
6943,-59,Popov I.A.
9657,-7033,Falorni P.
9633,-6669,Becthel T.
9597,-7347,Zhuravlev A.
-9303,-1306,Fomin Y.D.
-9138,-832,Tsiok E.N.
-9496,-988,Ryzhov V.N.
5880,-431,Dermer P.B.
5747,-905,Varaksin A.Y.
5318,-3753,Zhigalina V.G.
5665,-3692,Zhigalina O.M.
5526,-4201,Ponomarev I.I.
4953,-3515,Skupov K.M.
5008,-3916,Razorenov D.Y.
5292,-3379,Leitinger G.
-2370,-3544,Fernandez T.T.
-1935,-3613,Wang Y.
-2139,-3481,Podmarkov Y.P.
-2122,-4015,Skasyrsky Y.K.
-2353,-4017,Svelto C.
-1953,-3846,Maddaloni P.
-2575,-3958,Coluccelli N.
-2503,-3736,Laporta P.
-2223,-3767,Galzerano G.
513,107,Bulla M.
81,807,Valcu M.
-5,106,Dokter A.M.
839,743,Dondua A.G.
771,454,Kosztolányi A.
516,718,Rutten A.L.
-103,394,Helm B.
427,204,Sandercock B.K.
881,373,Casler B.
642,288,Ens B.J.
250,46,Spiegel C.S.
195,579,Hassell C.J.
151,458,Küpper C.
695,552,Minton C.
456,825,Burgas D.
604,797,Lank D.B.
-79,226,Payer D.C.
486,596,Nol E.
449,331,Kwon E.
391,85,Smith F.
477,949,Gates H.R.
728,199,Vitnerová H.
799,614,Prüter H.
854,242,Johnson J.A.
468,468,St Clair J.J.H.
153,110,Lamarre J.-F.
202,884,Rausch J.
183,-70,Reneerkens J.
-76,548,Conklin J.R.
249,364,Burger J.
118,675,Liebezeit J.
626,141,Bêty J.
552,376,Coleman J.T.
62,561,Figuerola J.
218,747,Hooijmeijer J.C.E.W.
611,641,Alves J.A.
937,640,Smith J.A.M.
577,514,Weidinger K.
364,415,Koivula K.
296,-145,Gosbell K.
708,708,Exo K.-M.
