x,y,id
-26133,-11323,Stepanov S.E.
12739,-22849,Lebedev S.P.
-13847,24865,Naumov I.S.
-13602,24505,Barbot’ko S.L.
-13380,24921,Petrova A.P.
-61299,17423,Pilishkin V.N.
-61157,16651,Pupkov K.A.
4978,-29639,Voinov Y.P.
7479,-28111,Zlobina L.I.
6770,-26609,Sverbil’ P.P.
56591,81816,Derevich I.V.
16738,36517,Glukhov S.D.
-112889,16456,Voblyi V.A.
-73299,-70228,Fomin M.V.
-73183,-69377,Chirkin A.V.
-39897,-51159,Glasko A.V.
56623,-20525,Kotenev V.P.
15338,34733,Vorotyntsev V.B.
-44725,-5375,Andreev V.V.
-43795,-5122,Bondarenko G.G.
-42144,-4936,Stolyarov A.A.
-43291,-5527,Akhmelkin D.M.
19219,-25350,Denisov D.G.
33861,-112784,Konopel’ko N.A.
32731,-114329,Titarev V.A.
35074,-114644,Shakhov E.M.
3662,2988,Efimenko L.A.
2753,1569,Elagina O.Y.
3921,2766,Ramus’ A.A.
3756,3303,Volkov I.V.
4223,3125,Ladyzhanskii A.P.
4716,2862,Rakhmanov D.V.
4543,3523,Konovalov A.V.
4396,4338,Kurkin A.S.
10428,-41538,Vladimirov I.Y.
9244,-41578,Korchagin N.N.
-6924,13235,Volkov V.Y.
-7524,14066,Skibin A.P.
-7082,13701,Zhuravlev O.N.
-6495,14006,Nukhaev M.T.
-6810,14201,Kyurdzhiev Y.V.
-6518,13642,Maksimov I.E.
33626,-24344,Chernega V.N.
32502,-23409,Man’ko O.V.
30381,-21273,Man’ko V.I.
-58659,-33879,Gerasimov S.A.
-59717,-33491,Kuksenova L.I.
-59831,-34479,Lapteva V.G.
-58563,-34759,Danilov V.D.
-59148,-34462,Alekseeva M.S.
-58815,-35090,Shcherbakov Y.I.
-58522,-34419,Khrennikova I.A.
-11502,39628,Mikheev Yu.A.
-12169,40138,Ershov Yu.A.
13463,-6552,Puryaev D.T.
15532,-8371,Batshev V.I.
14268,-7046,Kapustin A.B.
14029,-7413,Graf N.A.
64927,-3926,Babenko S.P.
64214,-2911,Bad’in A.V.
63544,-1624,Ovchinnikov A.V.
-75363,-5864,Pozhalostin A.A.
-75709,-5146,Goncharov D.A.
-32498,15483,Emdadi A.A.
-32595,15023,Cifre J.
-32128,14886,Dementeva O.Y.
-32035,15345,Golovin I.S.
-39127,31793,Kuzmina K.S.
-36884,30259,Marchevsky I.K.
14529,3292,Krapivtsev V.G.
15129,2823,Markov P.V.
18308,-28144,Zhirnov A.A.
14143,-22692,Alekhnovich V.I.
-34510,-30014,Vukolov A.
-31987,-23759,Golovin A.
9578,-23019,Kuliev T.I.
9968,-22948,Kruchkov N.P.
12976,-25890,Tsepulin V.G.
10776,-25040,Perchik A.V.
10294,-23846,Tolstoguzov V.L.
7092,27425,Shishov V.V.
7774,26992,Talyzin M.S.
24878,61560,Kolebina N.V.
25184,62581,Danilov V.L.
-35812,-34852,Egorova O.
-34851,-34193,Omelchenko V.
-35252,-33888,Kuzchbah A.
12773,-24084,Schadko A.O.
25136,-2716,Mayorova V.
21501,2861,Leonov V.V.
60004,4453,Martirosyan A.A.
60336,3812,Shcherbina M.D.
642,-4909,Grigoryants A.G.
422,79,Tretyakov R.S.
48,-2929,Shiganov I.N.
-246,-457,Stavertiy A.Y.
54072,19831,Stepanishchev N.A.
54172,19263,Romanenkov V.A.
53143,20429,Boyarskaya R.V.
-14984,10022,Osipkov A.S.
-10776,5597,Makeev M.O.
-13618,7832,Prilepo Y.P.
-15089,8226,Arutyunyan G.A.
75312,29933,Gordeeva N.M.
-33129,64787,Gorshkov Y.G.
-3968,7378,Savel′eva I.Y.
-31660,-57462,Danilenko B.D.
-38,-8615,Ivanov A.I.
23896,989,Leonov V.
81103,56138,Arinchev S.V.
-38017,22113,Dimitrienko Y.I.
-39135,23408,Dimitrienko I.D.
-38479,23034,Sborschikov S.V.
49378,14098,Fedorov S.V.
50260,13343,Bayanova Y.M.
51246,13538,Ladov S.V.
-37132,-36136,Timofeev G.
-36406,-35925,Samoilova M.
-52119,17607,Baev M.I.
-52622,17207,Likhoedenko A.K.
9491,2799,Volkov S.S.
-37325,16943,Shen K.
-23993,18168,Neusipin K.A.
-30548,17224,Proletarsky A.V.
9234,-29582,Malyshev K.V.
8850,43062,Popov V.S.
9357,43622,Rumyantseva E.I.
8603,43499,Cengiz H.
10061,43660,Vidmanov D.A.
9902,43158,Petrosyan O.G.
11324,11148,Volosatova T.M.
11899,10746,Chichvarin N.V.
11802,11214,Volnov Y.V.
11424,10682,Ogloblin D.I.
-35321,20070,Dimitrienko Yu.I.
-35601,19244,Yakovlev D.O.
-6723,75422,Krutikov S.
-38164,32464,Moreva V.S.
-39303,33952,Puzikova V.V.
26472,-3542,Nerovny N.
26445,-5100,Rachkin D.
26906,-5340,Tenenbaurn S.
27209,-4854,Kotsur O.
28214,-9612,Popov A.
7810,29546,Dolgopyatov D.A.
39011,-18881,Alborova I.L.
36839,-18340,Anishchenko L.N.
25595,-982,Grishko D.
24715,-708,Munin E.
29534,22354,Michurin A.I.
29135,21974,Avtonomova I.V.
-32723,20878,Gavrilina E.A.
-23835,33798,Denisov O.V.
-23003,34610,Kirbai A.A.
-22863,34156,Minakov D.S.
-61709,26575,Utkina N.V.
-15092,75171,Kondakov A.I.
14565,-28673,Shelestov D.A.
11277,-24873,Koshelev K.I.
-40247,21307,Dimitrienko Y.u. I.
-39716,21910,Zakharov A.A.
45781,34321,Arakcheev P.V.
46623,34396,Buryi E.V.
45779,35745,Semerenko D.A.
-45890,37016,Sinitsyn M.V.
-12003,-13713,Kremlev S.S.
-19374,-24125,Ruchkina M.A.
-18265,-18621,Sagatelyan G.R.
-19697,-21822,Solomashenko A.B.
-19475,-25017,Zherdev A.Y.
63640,-116,Loktionov E.Yu.
54090,58011,Frolko P.A.
37701,-33275,Keke G.
37997,-32807,Wei L.
37446,-32784,Liguo T.
1152,-5821,Grezev V.A.
-13261,9176,Abashin M.I.
-12798,9492,Barzov A.A.
-14140,11215,Galinovsky A.L.
-13336,10187,Maslov B.G.
39692,62068,Kalinkin A.V.
39495,61174,Mastikhin A.V.
19817,-29091,Stepanov K.V.
19200,-28938,Nesterov E.T.
-10196,-7478,Al-Harosh M.
-9029,-8084,Shchukin S.I.
17181,54085,Belousov B.
18420,52625,Ksenevich T.I.
17954,54179,Naumov S.
17992,53517,Stepnov V.
16960,53289,Klimachkova A.
-57369,-12890,Rautkin Y.
-57281,-13277,Luchin D.
-74394,32023,Koryanov V.
-27308,34650,Resnick S.V.
-27240,34194,Sapronov D.V.
-37505,-31039,Baryshnikova O.O.
-36984,-30856,Boriskina Z.M.
-37073,-31393,Avdeeva O.V.
19469,42822,Kuzmina K.
20005,42972,Marchevsky I.
19877,42442,Moreva V.
-67991,28565,Belinskaya Y.S.
-21920,61317,Kuleshova M.S.
-22439,60587,Kraeva E.A.
36711,38099,Karbushev D.N.
37334,37090,Khvesyuk V.I.
70399,-39867,Bullo O.A.
70541,-40771,Fedotov Y.V.
69704,-39617,Belov M.L.
69294,-40526,Gorodnichev V.A.
10774,-24271,Katyba G.M.
8938,-21879,Khorokhorov A.M.
-16265,26776,Akhmetova E.S.
12428,-26246,Neganova A.S.
-30306,-28883,Zakharov M.
-29677,-30144,Karpenko A.
-29992,-27456,Smirnova E.
-29790,-29051,Tikhomirova E.
-104121,114521,Karpov A.O.
-59158,28351,Liu W.
-20202,-20066,Odinikov S.B.
-20356,-22442,Kuznetsov A.S.
-21202,-21042,Kolyuchkin V.V.
-19372,-20660,Drozdova E.A.
